Pattern,Print,Fabric,Native_Product_Id,Primary_Colour
Woven,Geometric Print,Pure Cotton,15372574,Green
Printed,Ethnic Motifs,Silk Blend,13950444,Pink
Printed,Geometric Print,Pure Cotton,14738016,Black
Woven,Ethnic Motifs,Cotton Silk,13661640,Peach
Woven,Ethnic Motifs,Cotton Silk,14074886,White
Embroidered,Floral,Cotton Blend,14001088,Black
Striped,Striped,Viscose Rayon,14301630,Purple
Woven,Solid,Pure Cotton,15372550,Grey
Embroidered,Geometric Print,,1442726,Red
Embroidered,Floral,Organza,11544304,Navy Blue
Solid,,,996720,Pink
Checked,Checked,Silk Blend,15038412,Beige
Printed,Floral,Pure Cotton,14737996,Green
Embroidered,Floral,Cotton Silk,7689325,Cream
Printed,Leheriya,Poly Crepe,12025084,Black
Woven,Ethnic Motifs,Silk Blend,14129240,Maroon
Embroidered,Ethnic Motifs,Net,14016128,Grey
Checked,Checked,Silk Blend,15038412,Beige
Solid,Solid,Cotton Blend,14001066,Cream
Striped,Striped,Viscose Rayon,14301616,Orange
Embroidered,Floral,Net,14447480,Burgundy
Woven,Polka Dots,Silk Blend,15372576,Yellow
Woven,Ethnic Motifs,Silk Blend,11564134,Lime Green
Woven,Solid,Pure Silk,15372558,Yellow
Embroidered,Abstract Print,Silk Blend,12762634,Peach
Striped,Striped,Poly Georgette,14301626,Maroon
Striped,Striped,Pure Cotton,14349810,Peach
Printed,Floral,Pure Cotton,14738002,Blue
Woven,Floral,Poly Chiffon,15168152,Sea Green
Woven,Ethnic Motifs,Cotton Silk,13661738,Yellow
Checked,Checked,Silk Blend,15038412,Beige
Printed,Ethnic Motifs,Cotton Blend,14001122,Cream
Solid,Solid,Cotton Blend,14001014,White
Embroidered,Floral,Silk Blend,14000998,White
Woven,Solid,Pure Cotton,14046912,Off-White
Striped,Striped,Viscose Rayon,14301628,Blue
Embroidered,Geometric Print,Poly Chiffon,10814204,Black
Woven,Ethnic Motifs,Silk Blend,11564090,Pink
Woven,Ethnic Motifs,Cotton Silk,13661726,Red
Embroidered,Ethnic Motifs,Net,14016104,Pink
Checked,Checked,Silk Blend,15038412,Beige
Woven,Ethnic Motifs,Pure Cotton,15372542,Grey
Woven,Polka Dots,Pure Silk,15372566,Off-White
Woven,Solid,Poly Georgette,14554990,Blue
Checked,Checked,Silk Blend,15038412,Beige
Embroidered,Floral,Cotton Silk,7689321,Cream
Striped,Striped,Silk Blend,13950438,Purple
Woven,Floral,Silk Blend,14129210,Black
Embroidered,Ethnic Motifs,Net,14016168,Blue
Woven,Ethnic Motifs,Cotton Silk,14057022,Off-White
Embroidered,Bandhani,Silk Blend,14447442,Yellow
Embroidered,Ethnic Motifs,Poly Chiffon,14674636,Black
Woven,Ethnic Motifs,Silk Blend,11703766,Lime Green
Printed,Quirky,Art Silk,10452052,Brown
Woven,Floral,Silk Blend,12889140,Navy Blue
Woven,Ethnic Motifs,Silk Blend,12720458,Pink
Solid,Solid,Cotton Blend,14001114,Navy Blue
Printed,Ethnic Motifs,Cotton Silk,4444079,Cream
Woven,Striped,Silk Blend,14001030,Red
Woven,Geometric Print,Art Silk,13008870,Grey
Embroidered,Floral,Organza,10711438,White
Printed,Bandhani,Art Silk,14056584,Green
Solid,Solid,Pure Cotton,15266726,Green
Embroidered,Floral,Silk Blend,14001046,Black
Woven,Solid,Pure Cotton,12025038,Blue
Embroidered,Floral,Poly Chiffon,12889098,White
Woven,Floral,Silk Blend,12889016,Grey
Printed,Geometric Print,Art Silk,9380901,Mauve
Embroidered,Ethnic Motifs,Silk Blend,12967740,Cream
Embroidered,Striped,Silk Blend,9452597,Orange
Checked,Checked,Silk Blend,15038412,Beige
Checked,Checked,Cotton Blend,2399954,Yellow
Woven,Floral,Art Silk,13008844,Coral
Checked,Checked,Silk Blend,15038412,Beige
Embroidered,Ethnic Motifs,Net,14016108,White
Embroidered,Ethnic Motifs,Net,14159452,Grey
Printed,Floral,Cotton Blend,11969316,Grey
Checked,Checked,Silk Blend,15038412,Beige
Woven,Floral,Silk Blend,12889088,Red
Embroidered,Polka Dots,,2040264,Black
Woven,Floral,Art Silk,13008854,Coral
Embroidered,Floral,Cotton Blend,13680556,White
Printed,Polka Dots,Silk Blend,13135178,Pink
Checked,Checked,Silk Blend,15038412,Beige
Printed,Ethnic Motifs,Satin,2452463,Multi-Colour
,Geometric Print,Art Silk,1252277,Multi-Colour
Woven,Floral,Art Silk,13008786,Yellow
Printed,Ethnic Motifs,Poly Chiffon,13190610,Blue
Solid,Solid,Cotton Blend,12643536,Magenta
Solid,,,996719,Blue
Checked,Striped,Pure Cotton,10185621,Red
Checked,Checked,Silk Blend,15038412,Beige
Printed,Geometric Print,Pure Cotton,12025020,Sea Green
Woven,Ethnic Motifs,Cotton Silk,13661644,Grey
Striped,Striped,Cotton Blend,12457264,Yellow
Woven,Geometric Print,Organza,14001162,Black
Solid,,,1458193,Black
Checked,Checked,Silk Blend,15038412,Beige
Woven,Geometric Print,Art Silk,13008820,Navy Blue
Woven,Ethnic Motifs,Cotton Silk,13661618,Black
Printed,Paisley Print,Cotton Blend,12762412,Maroon
Solid,Solid,Pure Cotton,13571048,Coral
Printed,Geometric Print,Pure Cotton,8428225,Yellow
Printed,Geometric Print,Art Silk,9380909,Mauve
Woven,Ethnic Motifs,Silk Blend,13418684,Blue
Woven,Floral,Poly Chiffon,10652750,Green
Woven,Solid,Linen,14609756,White
Printed,Bandhani,Art Silk,9479887,Multi-Colour
Embroidered,Floral,Net,13552300,White
Embroidered,Floral,Net,6177369,Grey
Checked,Checked,Silk Blend,15038412,Beige
Solid,,,1087791,White
Striped,Striped,Viscose Rayon,14430832,Off-White
Solid,Solid,Poly Georgette,14562772,Maroon
Embroidered,Floral,Poly Chiffon,12889054,Red
Checked,Checked,Silk Blend,15038412,Beige
Checked,Checked,Pure Cotton,6975668,Yellow
Embroidered,Ethnic Motifs,Net,14016118,White
Striped,Striped,Pure Cotton,7588562,Peach
Embroidered,Ethnic Motifs,Net,14016152,Blue
Embroidered,Floral,Cotton Blend,13680576,Grey
Embroidered,Ethnic Motifs,Net,14159484,Pink
Printed,Ethnic Motifs,Silk Blend,12967774,White
Printed,Floral,Organza,14095652,Grey
Checked,Checked,Silk Blend,15038412,Beige
Checked,Checked,Silk Blend,15038412,Beige
Printed,Geometric Print,Art Silk,9380905,Brown
Embroidered,Ethnic Motifs,Net,12336774,White
Striped,Striped,Art Silk,11492918,Blue
Woven,Ethnic Motifs,Silk Blend,8278527,Purple
Embroidered,Ethnic Motifs,Net,14016198,Mauve
Embroidered,Floral,Cotton Blend,13680592,Black
Printed,Floral,Cotton Blend,11969368,Navy Blue
